"InstitutionID","Symbol","ShortName","EndDate","StateTypeCode","IndustryCode","AccountPayable","Prepayment","AccountReceivable","TotalAssets","ProvidedTradeCredit","ObtainedTradeCredit","BankLoanSize","SupplierPower1"
"10146369","603229","奥翔药业","2025-06-30","1","C27","158220694.6700","9762927.3500","280160345.5300","3135061053.5700","289923272.8800","308824182.8200","329420666.1100","9.5392"
"10146369","603229","奥翔药业","2025-09-30","1","C27","139423352.7700","2196824.8700","206314556.5800","3060353890.2100","208511381.4500","264592277.0000","375195949.0800","8.5740"
"10146369","603229","奥翔药业","2025-12-31","1","C27","186384161.5400","1202360.9800","142033885.4900","3085250665.4500","143236246.4700","270095922.3400","454855223.7400","8.7155"
"10146369","603229","奥翔药业","2026-03-31","1","C27","124254205.3000","2928330.3800","316746777.8000","3156838520.0600","319675108.1800","225013709.8700","484662527.4500","7.0351"
"10525375","603230","内蒙新华","2024-03-31","1","R86","1063398246.6000","128744392.2800","710513905.0500","4487688711.4700","839258297.3300","1063398246.6000","0.0000","20.8271"
"10525375","603230","内蒙新华","2024-06-30","1","R86","1036327980.5200","14761600.3500","424302418.7500","4263031421.4500","439064019.1000","1053899574.2700","0.0000","23.9634"
"10525375","603230","内蒙新华","2024-09-30","1","R86","1264771661.5300","23757892.5900","876231641.0400","4716297370.8700","899989533.6300","1273512003.5300","0.0000","26.3133"
"10525375","603230","内蒙新华","2024-12-31","1","R86","1112212261.6100","4419242.1500","389565749.8400","4596750131.7400","393984991.9900","1129247971.4500","0.0000","24.0995"
"10525375","603230","内蒙新华","2025-03-31","1","R86","1166735586.6600","17851089.4100","759098003.1200","4742532740.2200","776949092.5300","1179129843.2700","0.0000","24.2251"
"10525375","603230","内蒙新华","2025-06-30","1","R86","1112406427.4800","5427713.6900","480058669.9100","4484725292.1500","485486383.6000","1127351738.3400","0.0000","24.6833"
"10525375","603230","内蒙新华","2025-09-30","1","R86","1226894225.9100","8358077.1100","629252496.5700","4715374825.7900","637610573.6800","1244260301.7300","0.0000","25.8418"
"10525375","603230","内蒙新华","2025-12-31","1","R86","1019849426.1200","9113198.0600","318268370.3700","4491558612.7000","327381568.4300","1035618049.5900","0.0000","22.5030"
"10525375","603230","内蒙新华","2026-03-31","1","R86","1060551598.1300","21037724.8200","489737440.1500","4536060804.2800","510775164.9700","1087947627.1300","0.0000","22.9167"
"10572056","603231","索宝蛋白","2024-03-31","1","C13","120481683.5000","59398891.1400","143488892.0700","2129297349.5500","217874383.2100","120481683.5000","23874091.6300","2.8687"
"10572056","603231","索宝蛋白","2024-06-30","1","C13","96945943.5000","16880365.5800","158039929.3300","2010780528.2300","197111224.4100","96945943.5000","23774000.0000","3.9818"
"10572056","603231","索宝蛋白","2024-09-30","1","C13","98638386.1400","13909846.9100","147482524.4000","2032148853.4400","186271831.3100","98638386.1400","23774000.0000","4.1694"
"10572056","603231","索宝蛋白","2024-12-31","1","C13","120217223.7700","13137272.7200","148634477.2500","2084649913.9400","177575914.6800","120217223.7700","23774000.0000","5.1366"
"10572056","603231","索宝蛋白","2025-03-31","1","C13","134919375.6700","96812936.0600","145260221.2900","2137494093.9800","255446487.2900","134919375.6700","23774000.0000","1.7828"
"10572056","603231","索宝蛋白","2025-06-30","1","C13","84592808.9600","31224780.3300","148184182.2700","2097352318.6800","198238252.5400","84592808.9600","23774000.0000","2.5445"
"10572056","603231","索宝蛋白","2025-09-30","1","C13","102276771.3600","28992632.0700","142613625.0500","2173831999.8800","179297827.1200","102276771.3600","23774000.0000","3.3712"
"10572056","603231","索宝蛋白","2025-12-31","1","C13","166435962.8800","26209807.1100","143681029.7200","2269214409.2000","172779967.1700","166435962.8800","23774000.0000","6.1795"
"10572056","603231","索宝蛋白","2026-03-31","1","C13","128027602.3000","46688336.9800","138853029.1600","2265618039.4700","191262895.9200","152527602.3000","23774000.0000","4.6715"
"10146366","603232","格尔软件","2024-03-31","1","I65","73425422.9200","14485539.0100","239869572.1500","1593393148.7200","257855816.3300","73425422.9200","10000000.0000","3.6990"
"10146366","603232","格尔软件","2024-06-30","1","I65","84032632.2300","15949341.2500","265261761.5300","1555888410.4900","283529652.9500","84032632.2300","10000000.0000","4.3758"
"10146366","603232","格尔软件","2024-09-30","1","I65","130958437.2600","16278244.7100","288841993.8600","1611151958.2200","305705918.5700","130958437.2600","0.0000","7.1179"
"10146366","603232","格尔软件","2024-12-31","1","I65","70283176.5400","16826483.6800","334847078.8600","1669821101.5000","354217937.5400","70283176.5400","54457872.5600","3.2013"
"10146366","603232","格尔软件","2025-03-31","1","I65","66658982.4600","15361331.2900","319609375.7100","1602736533.3500","336400002.0000","66658982.4600","43409970.4300","3.2006"
"10146366","603232","格尔软件","2025-06-30","1","I65","52453470.3400","15796674.4100","322093715.4500","1553681507.5500","344796261.7600","55480410.3400","42329923.0800","2.5542"
